江西电信频道,#genre#
新疆卫视,http://115.153.232.67/PLTV/88888888/224/3221227273/123649589.smil/index.m3u8?fmt=ts2hls
新疆卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221227273/123649589.smil
兵团卫视,http://115.153.232.67/PLTV/88888888/224/3221227278/123649594.smil/index.m3u8?fmt=ts2hls
兵团卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221227278/123649594.smil
IPTV光影,http://115.153.232.67/PLTV/88888888/224/3221227013/86502094.smil/index.m3u8?fmt=ts2hls
IPTV光影,rtsp://115.153.232.67/PLTV/88888888/224/3221227013/86502094.smil
IPTV军事,http://115.153.232.67/PLTV/88888888/224/3221227038/86502156.smil/index.m3u8?fmt=ts2hls
IPTV军事,rtsp://115.153.232.67/PLTV/88888888/224/3221227038/86502156.smil
IPTV动画,http://115.153.232.67/PLTV/88888888/224/3221227009/86502150.smil/index.m3u8?fmt=ts2hls
IPTV动画,rtsp://115.153.232.67/PLTV/88888888/224/3221227009/86502150.smil
经典剧场,http://115.153.232.67/PLTV/88888888/224/3221227034/86502060.smil/index.m3u8?fmt=ts2hls
经典剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221227034/86502060.smil
IPTV国学,http://115.153.232.67/PLTV/88888888/224/3221227028/86441216.smil/index.m3u8?fmt=ts2hls
IPTV国学,rtsp://115.153.232.67/PLTV/88888888/224/3221227028/86441216.smil
IPTV地理,http://115.153.232.67/PLTV/88888888/224/3221227040/86502111.smil/index.m3u8?fmt=ts2hls
IPTV地理,rtsp://115.153.232.67/PLTV/88888888/224/3221227040/86502111.smil
IPTV墨宝,http://115.153.232.67/PLTV/88888888/224/3221227032/86502054.smil/index.m3u8?fmt=ts2hls
IPTV墨宝,rtsp://115.153.232.67/PLTV/88888888/224/3221227032/86502054.smil
IPTV戏曲,http://115.153.232.67/PLTV/88888888/224/3221227030/86441159.smil/index.m3u8?fmt=ts2hls
IPTV戏曲,rtsp://115.153.232.67/PLTV/88888888/224/3221227030/86441159.smil
IPTV早教,http://115.153.232.67/PLTV/88888888/224/3221227007/86441065.smil/index.m3u8?fmt=ts2hls
IPTV早教,rtsp://115.153.232.67/PLTV/88888888/224/3221227007/86441065.smil
IPTV星影,http://115.153.232.67/PLTV/88888888/224/3221227042/86502073.smil/index.m3u8?fmt=ts2hls
IPTV星影,rtsp://115.153.232.67/PLTV/88888888/224/3221227042/86502073.smil
IPTV精选,http://115.153.232.67/PLTV/88888888/224/3221227005/86441212.smil/index.m3u8?fmt=ts2hls
IPTV精选,rtsp://115.153.232.67/PLTV/88888888/224/3221227005/86441212.smil
IPTV美妆,http://115.153.232.67/PLTV/88888888/224/3221227021/86502160.smil/index.m3u8?fmt=ts2hls
IPTV美妆,rtsp://115.153.232.67/PLTV/88888888/224/3221227021/86502160.smil
IPTV解密,http://115.153.232.67/PLTV/88888888/224/3221227023/86502069.smil/index.m3u8?fmt=ts2hls
IPTV解密,rtsp://115.153.232.67/PLTV/88888888/224/3221227023/86502069.smil
IPTV足球,http://115.153.232.67/PLTV/88888888/224/3221227019/86502107.smil/index.m3u8?fmt=ts2hls
IPTV足球,rtsp://115.153.232.67/PLTV/88888888/224/3221227019/86502107.smil
IPTV鉴赏,http://115.153.232.67/PLTV/88888888/224/3221227011/86502050.smil/index.m3u8?fmt=ts2hls
IPTV鉴赏,rtsp://115.153.232.67/PLTV/88888888/224/3221227011/86502050.smil
IPTV高网,http://115.153.232.67/PLTV/88888888/224/3221227036/86502103.smil/index.m3u8?fmt=ts2hls
IPTV高网,rtsp://115.153.232.67/PLTV/88888888/224/3221227036/86502103.smil
IPTV法治,http://115.153.232.67/PLTV/88888888/224/3221226993/86440997.smil/index.m3u8?fmt=ts2hls
IPTV法治,rtsp://115.153.232.67/PLTV/88888888/224/3221226993/86440997.smil
IPTV电视剧,http://115.153.232.67/PLTV/88888888/224/3221227034/86502060.smil/index.m3u8?fmt=ts2hls
IPTV电视剧,rtsp://115.153.232.67/PLTV/88888888/224/3221227034/86502060.smil
IPTV相声小品,http://115.153.232.67/PLTV/88888888/224/3221226989/86441091.smil/index.m3u8?fmt=ts2hls
IPTV相声小品,rtsp://115.153.232.67/PLTV/88888888/224/3221226989/86441091.smil
IPTV谍战剧场,http://115.153.232.67/PLTV/88888888/224/3221227016/86441085.smil/index.m3u8?fmt=ts2hls
IPTV谍战剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221227016/86441085.smil
IPTV少儿动画,http://115.153.232.67/PLTV/88888888/224/3221227006/86440922.smil/index.m3u8?fmt=ts2hls
IPTV少儿动画,rtsp://115.153.232.67/PLTV/88888888/224/3221227006/86440922.smil
IPTV热播剧场,http://115.153.232.67/PLTV/88888888/224/3221227008/86440955.smil/index.m3u8?fmt=ts2hls
IPTV热播剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221227008/86440955.smil
IPTV经典电影,http://115.153.232.67/PLTV/88888888/224/3221227010/86440860.smil/index.m3u8?fmt=ts2hls
IPTV经典电影,rtsp://115.153.232.67/PLTV/88888888/224/3221227010/86440860.smil
IPTV魅力时尚,http://115.153.232.67/PLTV/88888888/224/3221226981/86440822.smil/index.m3u8?fmt=ts2hls
IPTV魅力时尚,rtsp://115.153.232.67/PLTV/88888888/224/3221226981/86440822.smil
IPTV野外,http://115.153.232.67/PLTV/88888888/224/3221226991/86441042.smil/index.m3u8?fmt=ts2hls
IPTV野外,rtsp://115.153.232.67/PLTV/88888888/224/3221226991/86441042.smil
中国天气,http://115.153.232.67/PLTV/88888888/224/3221227056/89471929.smil/index.m3u8?fmt=ts2hls
中国天气,rtsp://115.153.232.67/PLTV/88888888/224/3221227056/89471929.smil
军旅剧场,http://115.153.232.67/PLTV/88888888/224/3221226995/86441107.smil/index.m3u8?fmt=ts2hls
军旅剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221226995/86441107.smil
动作影院,http://115.153.232.67/PLTV/88888888/224/3221226999/86441130.smil/index.m3u8?fmt=ts2hls
动作影院,rtsp://115.153.232.67/PLTV/88888888/224/3221226999/86441130.smil
BRTV卡酷少儿,rtsp://115.153.232.67/PLTV/88888888/224/3221227076/108965819.smil
